Minuto_Video,Equipo_Recuperador,Zona_Recuperacion,Nuevo_Estado_Ataque,Cambio_Lado_Activo,Frame_Exacto
01:24,Local,Z2_25yd_50yd_Local,Ataca_Abajo (Local),False,2546
02:23,Visita,Z4_25yd_ArcoVisita,Ataca_Arriba (Visita),False,4311
03:15,Local,Z4_25yd_ArcoVisita,Ataca_Abajo (Local),False,5867
03:16,Visita,Z4_25yd_ArcoVisita,Ataca_Arriba (Visita),False,5882
03:19,Local,Z4_25yd_ArcoVisita,Ataca_Abajo (Local),False,5968
03:25,Visita,Z4_25yd_ArcoVisita,Ataca_Arriba (Visita),False,6164
03:27,Local,Z4_25yd_ArcoVisita,Ataca_Abajo (Local),False,6205
03:33,Visita,Z4_25yd_ArcoVisita,Ataca_Arriba (Visita),False,6398
03:35,Local,Z4_25yd_ArcoVisita,Ataca_Abajo (Local),False,6455
03:37,Visita,Z3_50yd_25yd_Visita,Ataca_Arriba (Visita),False,6519
04:32,Local,Z1_ArcoLocal_25yd,Ataca_Abajo (Local),False,8166
04:49,Visita,Z2_25yd_50yd_Local,Ataca_Arriba (Visita),False,8686
06:20,Local,Z4_25yd_ArcoVisita,Ataca_Abajo (Local),False,11393
06:21,Visita,Z4_25yd_ArcoVisita,Ataca_Arriba (Visita),False,11434
07:28,Local,Z2_25yd_50yd_Local,Ataca_Abajo (Local),False,13434
08:27,Visita,Z4_25yd_ArcoVisita,Ataca_Arriba (Visita),False,15224
09:25,Local,Z2_25yd_50yd_Local,Ataca_Abajo (Local),False,16957
09:28,Visita,Z2_25yd_50yd_Local,Ataca_Arriba (Visita),False,17039
09:31,Local,Z2_25yd_50yd_Local,Ataca_Abajo (Local),False,17115
09:37,Visita,Z4_25yd_ArcoVisita,Ataca_Arriba (Visita),False,17305
10:52,Local,Z4_25yd_ArcoVisita,Ataca_Abajo (Local),False,19551
13:25,Visita,Z1_ArcoLocal_25yd,Ataca_Arriba (Visita),False,24144
15:47,Local,Z1_ArcoLocal_25yd,Ataca_Abajo (Local),False,28394
16:51,Visita,Z4_25yd_ArcoVisita,Ataca_Arriba (Visita),False,30304
17:04,Local,Z2_25yd_50yd_Local,Ataca_Abajo (Local),False,30711
17:05,Visita,Z3_50yd_25yd_Visita,Ataca_Arriba (Visita),False,30748
17:12,Local,Z4_25yd_ArcoVisita,Ataca_Abajo (Local),False,30937
17:21,Visita,Z4_25yd_ArcoVisita,Ataca_Arriba (Visita),False,31223
17:29,Local,Z4_25yd_ArcoVisita,Ataca_Abajo (Local),False,31440
17:32,Visita,Z4_25yd_ArcoVisita,Ataca_Arriba (Visita),False,31551
18:17,Local,Z4_25yd_ArcoVisita,Ataca_Abajo (Local),False,32905
18:18,Visita,Z4_25yd_ArcoVisita,Ataca_Arriba (Visita),False,32916
18:18,Local,Z4_25yd_ArcoVisita,Ataca_Abajo (Local),False,32918
18:18,Visita,Z4_25yd_ArcoVisita,Ataca_Arriba (Visita),False,32921
19:28,Local,Z4_25yd_ArcoVisita,Ataca_Abajo (Local),False,35015
19:34,Visita,Z1_ArcoLocal_25yd,Ataca_Arriba (Visita),False,35202
20:56,Local,Z2_25yd_50yd_Local,Ataca_Abajo (Local),False,37645
23:02,Visita,Z4_25yd_ArcoVisita,Ataca_Arriba (Visita),False,41434
23:38,Local,Z2_25yd_50yd_Local,Ataca_Abajo (Local),False,42499
23:46,Visita,Z2_25yd_50yd_Local,Ataca_Arriba (Visita),False,42766
23:51,Local,Z2_25yd_50yd_Local,Ataca_Abajo (Local),False,42901
23:54,Visita,Z4_25yd_ArcoVisita,Ataca_Arriba (Visita),False,43002
24:07,Local,Z2_25yd_50yd_Local,Ataca_Abajo (Local),False,43367
38:51,Visita,Z4_25yd_ArcoVisita,Ataca_Arriba (Visita),False,69867
39:25,Local,Z3_50yd_25yd_Visita,Ataca_Arriba (Local),True,70899
40:41,Visita,Z1_ArcoLocal_25yd,Ataca_Abajo (Visita),True,73165
41:08,Local,Z1_ArcoLocal_25yd,Ataca_Arriba (Local),True,73968
41:10,Visita,Z2_25yd_50yd_Local,Ataca_Abajo (Visita),True,74050
41:19,Local,Z2_25yd_50yd_Local,Ataca_Arriba (Local),True,74316
41:43,Visita,Z2_25yd_50yd_Local,Ataca_Abajo (Visita),True,75042
41:48,Local,Z1_ArcoLocal_25yd,Ataca_Arriba (Local),True,75190
43:01,Visita,Z2_25yd_50yd_Local,Ataca_Abajo (Visita),True,77377
43:04,Local,Z2_25yd_50yd_Local,Ataca_Arriba (Local),True,77444
